"","candidate_name","vote","harris","state","is_vote"
"344","Kamala Harris","no",1,"Pennsylvania","0"
"345","Kamala Harris","no",1,"Pennsylvania","0"
"346","Kamala Harris","yes",1,"Pennsylvania","1"
"347","Kamala Harris","no",1,"Pennsylvania","0"
"348","Kamala Harris","no",1,"Pennsylvania","0"
"349","Kamala Harris","no",1,"Michigan","0"
"350","Kamala Harris","no",1,"Pennsylvania","0"
"351","Kamala Harris","no",1,"Arizona","0"
"352","Kamala Harris","no",1,"Michigan","0"
"353","Kamala Harris","yes",1,"Michigan","1"
"354","Kamala Harris","no",1,"Michigan","0"
"355","Kamala Harris","no",1,"Michigan","0"
"356","Kamala Harris","no",1,"Arizona","0"
"357","Kamala Harris","no",1,"Arizona","0"
"358","Kamala Harris","no",1,"Michigan","0"
"359","Kamala Harris","no",1,"Michigan","0"
"360","Kamala Harris","no",1,"Pennsylvania","0"
"361","Kamala Harris","no",1,"Pennsylvania","0"
"362","Kamala Harris","no",1,"Arizona","0"
"363","Kamala Harris","no",1,"Arizona","0"
"364","Kamala Harris","no",1,"Arizona","0"
"365","Kamala Harris","no",1,"Arizona","0"
"366","Kamala Harris","no",1,"Georgia","0"
"367","Kamala Harris","no",1,"Michigan","0"
"368","Kamala Harris","no",1,"Pennsylvania","0"
"369","Kamala Harris","no",1,"Arizona","0"
"370","Kamala Harris","no",1,"Arizona","0"
"371","Kamala Harris","no",1,"Georgia","0"
"372","Kamala Harris","no",1,"Georgia","0"
"373","Kamala Harris","no",1,"Michigan","0"
"374","Kamala Harris","no",1,"Michigan","0"
"375","Kamala Harris","no",1,"Pennsylvania","0"
"376","Kamala Harris","no",1,"Pennsylvania","0"
"377","Kamala Harris","no",1,"Pennsylvania","0"
"378","Kamala Harris","no",1,"Pennsylvania","0"
"379","Kamala Harris","no",1,"Georgia","0"
"380","Kamala Harris","no",1,"Georgia","0"
"381","Kamala Harris","no",1,"Arizona","0"
"382","Kamala Harris","no",1,"Pennsylvania","0"
"383","Kamala Harris","no",1,"Georgia","0"
"384","Kamala Harris","no",1,"Georgia","0"
"385","Kamala Harris","yes",1,"Pennsylvania","1"
"386","Kamala Harris","no",1,"Arizona","0"
"387","Kamala Harris","no",1,"Michigan","0"
"388","Kamala Harris","no",1,"Pennsylvania","0"
"389","Kamala Harris","no",1,"Pennsylvania","0"
"390","Kamala Harris","no",1,"Arizona","0"
"391","Kamala Harris","no",1,"Arizona","0"
"392","Kamala Harris","no",1,"Georgia","0"
"393","Kamala Harris","no",1,"Georgia","0"
"394","Kamala Harris","yes",1,"Michigan","1"
"395","Kamala Harris","yes",1,"Michigan","1"
"396","Kamala Harris","no",1,"Pennsylvania","0"
"397","Kamala Harris","no",1,"Pennsylvania","0"
"398","Kamala Harris","no",1,"Pennsylvania","0"
"399","Kamala Harris","no",1,"Michigan","0"
"400","Kamala Harris","no",1,"Georgia","0"
"401","Kamala Harris","no",1,"Pennsylvania","0"
"402","Kamala Harris","no",1,"Pennsylvania","0"
"403","Kamala Harris","no",1,"Pennsylvania","0"
"404","Kamala Harris","no",1,"Arizona","0"
"405","Kamala Harris","no",1,"Georgia","0"
"406","Kamala Harris","no",1,"Michigan","0"
"407","Kamala Harris","no",1,"Michigan","0"
"408","Kamala Harris","no",1,"Pennsylvania","0"
"409","Kamala Harris","no",1,"Pennsylvania","0"
"410","Kamala Harris","no",1,"Michigan","0"
"411","Kamala Harris","no",1,"Michigan","0"
"412","Kamala Harris","no",1,"Arizona","0"
"413","Kamala Harris","no",1,"Arizona","0"
"414","Kamala Harris","no",1,"Georgia","0"
"415","Kamala Harris","no",1,"Georgia","0"
"416","Kamala Harris","no",1,"Michigan","0"
"417","Kamala Harris","no",1,"Michigan","0"
"418","Kamala Harris","no",1,"Pennsylvania","0"
"419","Kamala Harris","no",1,"Pennsylvania","0"
"420","Kamala Harris","no",1,"Pennsylvania","0"
"421","Kamala Harris","no",1,"Georgia","0"
"422","Kamala Harris","no",1,"Georgia","0"
"423","Kamala Harris","no",1,"Pennsylvania","0"
"424","Kamala Harris","no",1,"Arizona","0"
"425","Kamala Harris","no",1,"Pennsylvania","0"
"426","Kamala Harris","no",1,"Michigan","0"
"427","Kamala Harris","no",1,"Georgia","0"
"428","Kamala Harris","no",1,"Georgia","0"
"429","Kamala Harris","no",1,"Pennsylvania","0"
"430","Kamala Harris","no",1,"Arizona","0"
"431","Kamala Harris","no",1,"Pennsylvania","0"
"432","Kamala Harris","no",1,"Michigan","0"
"433","Kamala Harris","no",1,"Georgia","0"
"434","Kamala Harris","no",1,"Georgia","0"
"435","Kamala Harris","no",1,"Georgia","0"
"436","Kamala Harris","no",1,"Georgia","0"
"437","Kamala Harris","no",1,"Georgia","0"
"438","Kamala Harris","no",1,"Georgia","0"
"439","Kamala Harris","no",1,"Georgia","0"
"440","Kamala Harris","no",1,"Georgia","0"
"441","Kamala Harris","no",1,"Michigan","0"
"442","Kamala Harris","no",1,"Pennsylvania","0"
"443","Kamala Harris","no",1,"Arizona","0"
"444","Kamala Harris","no",1,"Pennsylvania","0"
"445","Kamala Harris","no",1,"Pennsylvania","0"
"446","Kamala Harris","no",1,"Pennsylvania","0"
"447","Kamala Harris","no",1,"Pennsylvania","0"
"448","Kamala Harris","no",1,"Arizona","0"
"449","Kamala Harris","no",1,"Georgia","0"
"450","Kamala Harris","no",1,"Michigan","0"
"451","Kamala Harris","no",1,"Pennsylvania","0"
"452","Kamala Harris","no",1,"Arizona","0"
"453","Kamala Harris","no",1,"Pennsylvania","0"
"454","Kamala Harris","no",1,"Georgia","0"
"455","Kamala Harris","no",1,"Arizona","0"
"456","Kamala Harris","no",1,"Arizona","0"
"457","Kamala Harris","no",1,"Georgia","0"
"458","Kamala Harris","no",1,"Georgia","0"
"459","Kamala Harris","no",1,"Michigan","0"
"460","Kamala Harris","no",1,"Michigan","0"
"461","Kamala Harris","no",1,"Pennsylvania","0"
"462","Kamala Harris","no",1,"Pennsylvania","0"
